"AGE";"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"UNIT_MEASURE";"CONF_STATUS";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1997;11.4
"_T";"FERIND";"A";"81";"DEP";"PT";"F";"0";"A";"D";"0";2012;204
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1998;12.9
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2013;10.1
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1998-04;13.1
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1998;11.9
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1999;11.6
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";1993;163
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2014-02;12.5
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2014;10
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1998-05;12.6
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";2000;12.1
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2000;13.2
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2016;10
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";1994;163
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2014-03;12.1
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2001;12.8
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2005-02;12.6
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";2002;11.3
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";1995;170
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2001;10.2
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2017;9.2
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2002;10.1
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2005;11.6
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2009;53
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2018;9.1
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2003;12.3
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2018;8.8
"_T";"FERIND";"A";"81";"DEP";"PT";"F";"0";"A";"D";"0";2018;173
"_T";"BRTHRT";"A";"87";"DEP";"PM";"F";"1";"A";"D";"0";2001;10.2
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2020;9.1
"_T";"FERIND";"A";"81";"DEP";"PT";"F";"0";"A";"D";"0";2019;179
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2019;9.2
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2009;11.6
"_T";"FERIND";"A";"81";"DEP";"PT";"F";"0";"A";"D";"0";2020;172
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2005;10.4
"_T";"BRTHRT";"A";"87";"DEP";"PM";"F";"1";"A";"D";"0";2003;9.5
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";2008;11.3
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2008;11.5
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2006;10.6
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2014-08;12.4
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2007;12.1
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";2008;162
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2013;57
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2011;11.2
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";2010;14.8
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2009;11.3
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2005-08;12.9
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";2000;186
